Review_Number,Rating,Title,Content,Content_Length
46,9,The series is beyond the ideas of the other world!,"The 8 episodes of the First season flew by unnoticed in the extraordinary film atmosphere. The creators managed to shoot a unique work, in which the motives of famous books and films of previous years are guessed. The sci-fi character sets the main tone for the entire tape, but high-quality directing does not give even a second to get bored. An exciting plot, a cool game of actors, diversity and retrospectives, coupled with fascinating music, immerse the viewer in a world that you do not want to part with. This is a film that is interesting to reflect on, discuss with friends and even draw parallels with your own realities. Each episode is a new batch of intrigues and impressions, secrets and solutions, almost always unpredictable. The ending of the first season leaves a lot of questions... To the delight of everyone who has managed to fall in love with Stranger Things, the release of season 4 is expected soon, which has been postponed many times due to the pandemic! In the meantime, there is time to reflect on what he saw, and maybe watch the series again in the company of interesting people. I think this film will also appeal to modern teenagers, for whom the entourage of the 80s with its games, customs and traditions will appear in a new light. Everyone in this film will be able to find a favorite hero, according to their ideals and preferences. In particular, I would like to note the highly professional game of Finn Wolfard, who played Michael. His character is an example of a kind, truly bright boy who knows the value of friendship. To be honest, throughout the season I often caught myself thinking an annoying thought - why wasn't I like this as a child? There was also a place for tears, which it was sometimes impossible to restrain (although I am not so sentimental). The film is really addictive, as if you are experiencing events, joy and pain together with the characters. A movie for a wide audience with meaning and a great plot!

And who has become your favorite hero for you? And if you haven't watched the first season yet, then don't hesitate and call your friends!",2110
47,10,A masterpiece,"This is one of the most magical things I have ever had the fortune of viewing. I won't go into details about the narrative, which is build on classic sci-fi and horror concepts and it works. But what really makes this show excel is the little things. The casting is amazing - every single character, regardless of how small the part is, feels like a complete character, and the main cast delivers some powerful stuff all throughout the series. The production is spot on in it's portrayal of a small town in the 80's, and I have to assume that it is in part based on the creators own experiences and childhood, because everything feels real.

The only thing that bothered me throughout the entire show was the incompetence of the government entities. I know and understand that this is a popular portrayal of the government in these types of stories and especially in the US is this a common sentiment. But it simply didn't seem believable that they would make some of the choices they did. Doesn't take a genius to see that they are doing a crummy job. But this is all in all a negligible detail, as it keeps the story moving.",1126
48,9,Instantly hooked,"What can I say Netflix has done it again!

I was hooked from the first episode!

The acting in this is brilliant, especially from the younger members of the cast.

The period it is set in they have managed to get it spot on down to the littlest details.

I especially like the musical score in it, sets the mood superbly!

This series has the perfect amount of mystery, suspense, and scares to keep you wanting more!! Hope this show runs for many more episodes, it's a classic in my eyes!",488
49,10,Just watch it. You will not be disappointed.,"Just watched the first chapter last night. Everything about it is great, the actors, the writing, the fact that it takes place in the FREAKING 80s (YES!) and all the music. The theme music is completely on point...very John Carpenter-ish with heavy synthesizer sounds that are very menacing. Watch this show, tell your friends to watch. It feels very Stephen King/Steven Spielberg..with some X-Files mixed in. I have never seen the kid actors before but they were all so good. Their on screen chemistry reminded me of the group of friends from The Explorers, Stand By Me or The Goonies but it's definitely not lighthearted or a comedy at all. It's always a good sign that a show is going to be good when you are completely sucked in within the first couple minutes. 10 out of 10 so far.",786
50,9,The return of event television!,"Not since the early 2000's, has there been such an eagerly awaited genre TV series finale.

And my word. Does this deliver edge of the seat drama? Yes, it does.

After four seasons, loyal viewers are now fully invested in these characters; involved in their fights, and intrigued by their outcome. You care for the plight of all involved, as you watch chess pieces across a decimated board fall into place, for epic battles. Who will survive? Who will fall? Watch to find out! It's intricate, its horrific, it's fascinating; it's ultimately human!

The pacing, soundtrack, cinematography and direction of this show, are second only to plot and character. As it should be.

Is it derivative? YES!! But with enough originality that it remains singular.

Creativity lives!! Thank the gods!!!",788
51,9,Season 4!!!!!!!!!!!!!!!!,"I can't believe the first time I tried to watch the first episode of season 1 I didn't get into. What?!? I must have been having an off day.

I thoroughly enjoyed seasons 1-3. The kids are just perfectly cast, and work so well together. The adult cast couldn't be better. I couldn't wait to see what happened after the end of sn 3 (unfortunately,,, lots happened in the world, and really slowed things down). Then finally,,,

Season 4 brought everything to a COMPLETELY DIFFERENT LEVEL!!! First,, every episode was either a mini movie, or a full blown movie (as far as the run time goes). From the opening of ep 1, everything is different from previous seasons bc our group has become scattered. Joyce, Will, Jonathan, and El are in California now, while everyone else is back in Hawkins. While Jonathan has adapted to life in Cali (he's become a bit of a stoner along with his buddy Argyle, who drives a van to deliver pizza from the SURF PIZZA 🍕 chain), and Joyce has found a thriving new job where she can work from home,, Eleven has had a more difficult time. While still reeling from losing her adoptive Dad, Hopper, along with losing her powers,, she has become the target of ridicule and bullying from a group of California kids at school. At her age, it's tough for any child to adapt to theirs surroundings,, but for El,, the deck is always stacked against her. Will is also having troubles, but for him it's more of the estrangement from everything he's known, along with the realization that he's probably never going to feel normal after what he's been through.

In Hawkins, Dustin, Lucas, and Mike have joined a D&D club called Hellfire, by their ""interesting"" leader Eddie Munson (the quintessential metal head of the 80s). However, Lucas has also joined the basketball team in an effort to gain popularity. Max, on the other hand is still reeling from the events that took place at the end of sn 3 (Billy's death, etc). She's even been visiting the school counselor, and although she'd broken up with Lucas at some point, he still tries to reach her to no avail.

Nancy is still chasing down stories as a budding journalist while Steve and Robin toil away at the video store (we saw them get hired at in the last ep, sn 3).

Overall, life seems to be going okay in Hawkins,, at least on the surface, that is. The upside down is still lurking just on the other side,, and a great evil is making itself known to the teenagers in Hawkins. Especially teens who've gone through certain trauma,,,

I don't want to say too much (cause I'll give too much away),, but this season should win all kinds of awards!!! I can only hope that the last season will be as good (don't know how they can top this).

So much happening in this season. I really can't emphasize this enough. Your emotions will be drained after watching, but in the best way possible.

The big bad guy's name is Vecna, and he is one of THE greatest villains I've ever seen!! So evil, so scary, just incredible.

I'm literally on pins and needles wanting to see season 5!! Of course,, we'll probably have to wait til 2024 before they get it on Netflix,,, ugh.

P. S. Really!! If you enjoyed sns 1-3,, this season blows them out of the water several times over!!",3233
52,10,Stranger Things 3 PARODY went downhill from the 1st minute,"I honestly found the trailer worrying a few months from release, and sadly I was right. Season 1 and 2 are brilliant. I love this show. Season 3 unfortunately drop the ball astronomically. I found most of it predictable, cringeworthy, boring, unreal Russians being the ridiculous bad guys from like a cartoon sitcom. 80% of the dialog is pointless filler, there is no progression from season 2. We learn nothing new about the Upside down world, about Eleven.

Over all it doesn't capture the essence of the original Season 1 and 2. Hugh Disappointment.",552
53,6,Season 3 was lame,"The show should have stopped with season 1. Season 3 was a major disappointment-I mean the lame plot with the Russians, cringey dialogue, and boring, repetitive action sequences. Not to mention the uncomfortable kissing sequences between Eleven and Mike. They should just stop beating a dead horse and end the show, but Netflix likes money too much.",349
54,5,Probably the last season I watch,"Season 1&2 were relatively ok, but season 3 was just infused with way too much emotion. Also i fell like Hopper lost all the character development we saw all through the previous seasons and the show is also too focused on relationships ie mike/eleven and max/lucas. I actually didn't finish the season",302
55,9,Great fun,"This show is very enjoyable and I can't wait for season 4. Season 1 starts of the show at a 10/10 absolutely perfect with great characters hooking me and many others from the start. Season 2 is almost as good at a 8/10 but this season has the worst episode in the show, it is just painful. Season 3 again is great at a 9/10 I think I enjoy it a bit more than most people, but this season is the most ""This show is in the 80s"" thing about the show but still great.",463
56,10,One of the greatest shows i've watched,This is up there for one of my favorite shows i have ever watched. The characters in this show might be my favorite group of characters in a show ever. The cinematography is second to none. The acting is mostly amazing. Every season is good. The creators of this show haven't missed. S4 was the best.,300
57,N/A,Series 3 disappointing,Series 3 is a nightmare. Same old. Nothing new. The first two series were brilliant. Time to retire.,100
58,10,Just amazing!,This is show is one of the best shows ever. The last season is just amazing and I love it!! I hope that there wil be more seasons to watch in future. Also Joseph Quinn character in the show was amazing.,202
59,10,Excellent TV show,"This show has been amazing since the first season.

I remember when the show first came out. It was scary, eerie and had that unique 80s feeling to it.

The story of this show is unique, and the concept of the upside down is just fascinating...and scary.

I have just watched season 4 and it was nothing short of amazing. The way the characters have grown throughout the show, and the way all the seasons tie in with eachother is truly awesome.

I cannot wait for the final season to come out, and I'm sad that an amazing show like this is coming to an end. Hopefully, there will be opportunities for maybe a mini spin off series or something related to the stranger things universe in the future...but that's just wishful thinking.

If you haven't watched this show, I highly recommend you do.",794
60,9,Just what we were waiting for,"Watched the new first 7 episodes of series 4. Wow, especially the episode Dear Billy, the gunfight scene and Max's scene at the graveyard are gripping and so well made. The sound track is spot on. Can't wait until July 1st.",223
61,10,They are not slowing down!,"Just finished watching Season 4. And I was quite impressed. The season 4 introduced some new characters and some new actors who play it. And those actors, they're excellent. Just excellent! Especially Eddie! This added character is amazing and the actor who plays it is superb! Wonderful work! And old guards still there, I mean Matthew Modine and Paul Reiser, they are excellent, I'm glad they are still in work and I wish them only the best roles just like those here in Stranger Things (I love them so much!). The series continued to maintain the highest level of art possible. Art of writing for screen, art of acting, art of directing. And that is impressive too. Can't wait for Season 5.",693
62,10,My favorite show since 2017,"I don't understand how some people don't like it. The fact that some people said ""Too long wait for season 4"" and gave 1 star like did y'all forget about covid pandemic? That was the reason we had to wait so long. But sure it may be not for everyone and is more for like teens but mostly everything in the show was really good. The acting, the cast, story. I just loved everything in stranger things and I'll never change my mind.",430
63,10,One of the best series ever made,"The atmosphere, clever writing, fantastic cinematography, amazing acting make this one of the best series ever made. And there's still one last season to go!",157
64,7,Excellent Show,"The first season was 10/10. I can't quite articulate what's been lost in seasons 2 and 3. The mystery I think? Part of the horror was watching people struggle against an unknown enemy - a single unknown enemy, another of season 2's downfalls. Also the fact that the children, teens, and adults were initially separate, fighting the same problem but with slightly different stakes and information, was really fun to watch in the first season. None of this is to say later seasons were bad (though 3 was better than 2), but they don't live up to the brilliance of the first season",578
65,4,Lost all momentum on season 3,"Season 1 was fantastic, season 2 kept the ball rolling. Season 3 was a poor concept riddled with weak characters who's behavior was inconsistent from previous seasons, drawn out far too long and wrapped up so poorly that the characters on the show could have written a better script. Haven't been so let down by a show's ending since how I met your mother.",356
66,10,Amazing Characterization and Storyline,"This is the first time that I am placing my review in IMDB all because I really love this TV series. The story is carefully written and the characterization was well planned. This TV series has all the genre you can think off from horror, thriller, romance, sci fi and comedy. It portrays true friendship and the ups and down of every teenager.

It tackles familial issues, like Joyce being a single mom and trying make ends meet and Mrs Wheeler who seems to be an unhappy wife who always had a glass of wine in the dining table.

It also love how it portrays all kinds of love. I like how El and Mike relationship started as a puppy love and progressed into a more mature relationship. I also love how they portrayed Mike's feelings towards Mike. You see at Mike's age he must still be confused on how he feels towards Mike.

The attention to detail is also remarkable. Believe it or not I have watched this series thrice already and I still cannot move on. I feel like I can rewatch it all over again because of the surprising details in the show.

If you haven't watched it yet I dare you... just give it a try. Anyone at any age will surely love this amazing show.",1168
67,10,Fav TV Series,"My Favorite TV series so far, this series it's so good I can't wait for the next season, season 4, I hope that eleven not lose her power. The CGI, cinematography I love it, this series is so recommended to watch with your friends, please I can't even describe it because this series is too good. I really love their chemistry.

Like every season they're giving us surprise with their new villain, story, and of course new characters. Duffer brothers was so genius how he can think like season 4 connect with every past in Season 1-3. Dustin and Steve always carry the show and they were so funny.

I love how they can make any connections from season 1 to season 4, I don't know if they already made the mind mapping from the day it releases or they just tryna to connecting it. The chemistry between the actors it just so good, like we're watching a real friend group. Duffer brothers never make any fail story and non-fun episode so far, and I hope he never make one in the future. I love the VFX and everything about this series, their iconic monster, really well written concept and story. I love how the character development we're grow in this series, they can change side by any season, which is a real-life thing that could happen.",1239
68,10,what we know and don't know can lead to perceptive contrasts,"Since its debut last year, Netflix's ""Stranger Things"" has become a popular show. I just binge-watched the first season. A couple of things struck me. One is of course the focus on government secrets and how Will's disappearance leads to the realization that this small, idealistic town might not be what it seems. Equally significant is the look at and allusions to 1980s popular culture.* But beyond that, there's the contrast between Will's family and Mike's family. Mike comes from an affluent family in an immaculate house, while Will comes from a working-class family in a house not in the best condition. These set the stage for the eerie events soon to dominate the town.

From the first episode, it was clear that this was going to be a good show, and it didn't disappoint. Winona Ryder, as Will's distraught mother, puts on what has to be the best performance of her career. If you only know her from her ""cute"" roles, then you're in for a pleasant surprise. Outstanding series.

And remember, the bad men are coming.

*I understand that the show's creators tracked down the makers of the era's board games to find out what they got called in foreign languages, so as to be able to properly localize the show in foreign countries.",1240
69,10,Stranger Things,"Netflix does it again! I'll admit, I was excited for this show just based on the genre it was listed as being in and so far it has not disappointed. With the exception of a few of the adults most of the cast was unknown to me which only adds to the level of immersion the show can reach. The two performers I was familiar with, Winona Ryder and David Harbour are both magnificent. A few things about Stranger Things are extraordinary and could only be done by Netflix. One, this show is suspenseful and engaging so waiting for a week to see the next episode would change the entire dynamic and would really be a bummer, Stranger Things must be binged! Second, the creators of this series are, like the young actors, unknown to me. Matt and Ross Duffer. Brothers that through conventional methods may not have had the opportunity to bring this show to life, get that opportunity from Netflix. In the past few years television has changed wildly. If you were a writer or actor five years ago you would much rather be a movie star than a television star, those distinctions have all but vanished. This change was brought on by many factors but I'd like to take this opportunity to applaud Netflix for their role. It is no coincidence that they started doing their own programming right around the same time these changes began. Bravo and please start filming season two of Stranger Things ASAP!",1391
70,N/A,Just Okay,"I mean, no serious plot holes, and some solid acting on behalf of most of the cast, , but nothing stellar, either. A pretty solid, average score of 5.

Surprisingly, I find Ryder's acting to be the most irritating out of anyone's in the cast. She strikes me as shrill, with very little nuance. I think the series would be much better without her.",346
71,9,Back to the eighties!,"Netflix did it again with Stranger Things. It's a very pleasant and easy to follow series to watch. It's like a time warp back to the eighties. A mixture of The Goonies meets The X-Files meets Close Encounters Of A Third Kind. I watched the whole first season in just a couple days. You immediately get hooked on this show. I don't know if the makers will add another season to it and if they do I'm already very curious what it will be about. Will it be a complete other story or will it just continue where the first season ended? It doesn't matter to me, I just want more seasons like this one. The cast is very good. All the actors fit perfectly well in the story. There is enough suspense to keep you interesting all the time. Watch this one, you won't regret it.",768
72,10,For Once The Hype is Real.....,"I didn't have much interest when it first came out. I took me until the release and ads of Season 4 that sparked my interest.

Here we have a near perfect show, one that surprised me with a shockingly connecting every season turned out to be.

The characters are hard not to love, the nods to nostalgia, I didn't expect the 80's to be a backdrop I was going to love for this show.

The stand out characters for me are definitely Nancy, Steve, Robin, Lucas, Max, & most importantly Eleven. The rest have their moments but these were my top. I would say the weakest & most annoying character is Will.

Each seasons major monster were greatly imaginative I felt like this show gave me an 80's X-Files, Silent Hill, Resident Evil, Goonies all wrapped into one. I cannot recommend this show enough.

Looking forward to season 5.",823
73,10,"Engaging, Tense, Outstanding!!","Season 1

This series sets environment right from the start of its first episode. The plot of the series is very interesting. Storyline keeps you engaged. The Duffer Brothers has directed the series so well. Each and every scene looks completely new. As the series progresses the environment becomes so tense and scary. It keeps you at the edge of your seat.

The acting is outstanding from the entire cast. Each character has portrayed its role with absolute perfection.

The background music is excellent. Visual effects are also good. In the tense and scary scenes background score makes your spine chill.

Overall, ""Stranger Things"" is a must watch series!

Season 2

Second season is a good continuation of the first season. Storyline is good this time also. In second season bond between characters is shown beautifully. There's much time given for character development so we feel more connected to the characters this season. Last few episodes are very tense and you will be thrilled by the climax.

Season 3

Despite being Netflix's most streamed series (65M+ views for the third season), I wonder why people criticise this third season. Strange things get on a bigger level in the third season. Problem is now bigger to face. This season is very interesting to watch. Waiting for the fourth season...",1310
74,9,I cried and cheered,"That's right, I actually cried watching Stranger Things, especially during the last two episodes of season 2. I never thought an adventure/sci-fi type show would get me so emotionally attached, but Stranger Things made it happen. I had goosebumps, tears and at times I even punched the air from excitement.

Part of the strong emotional response is due to the rich characters - their personal background and emotional life play a huge role in the drama. I empathised deeply with Joyce's warrior spirit, Hopper's loss, the Stand By Me-like friendship between Mike, Dustin, Lucas and Will, and the blossoming relationship between Jonathan and Nancy. And while Will is my favourite character, I feel the most special towards Eleven, as she essentially has no real home.

All of this makes the storyline believable and relatable to me, even when the fantasy element seems larger than life. Yes: seems, because once I started looking closer, I realised a lot of the fantasy part is firmly rooted in reality. One take on Stranger Things could be that - apart from being a bad-ass adventure with some world class music - it's a show that deals with trauma, in a stylised, metaphoric way. Will's disapperance into the Upside Down is a traumatic experience, which makes him more vulnerable to a similar experience later on. Most of the main characters deal with a personal trauma in some kind of way. Hopper losing his daughter; Joyce being faced with her husband running off, and then losing her new partner; and ofcourse Eleven having her entire childhood stolen from her. Mike too deals with trauma when he misses El so much after het initial disappearance in the season 1 finale. The way he keeps looking over to El's place in his room and calls her every night struck a chord of real grief.

The thing I appreciate most about the way the traumas are portrayed is the fact that life is never the same again for any of the characters. We see this most clearly with Will, who, when returned from the Upside Down, goes through life known as 'zombie boy', having lost the innocence of his former childhood years. And when he becomes infected and seems to be lost to his loved ones, it made me think of depression or other mental conditions where the patient no longer seems to be themselves to their surroundings. When Joyce, Jonathan and Mike relate their personal memories of Will to him, in order to reach his true self again, it set the tear ducts running for sure.

This is all part of what trauma can do to people - while at the same time Stranger Things shows that people cope and adapt in some form or another (a fact even stated explicitly in season 2).

What's more, Dr. Brenner compares Eleven's childhood trauma to a wound that spreads, like the vines of the superorganism. It would go too far to see the Upside Down, the Demo-dogs, the virus etc. All as mere allegory for real-life experiences and concepts, but it seems to me they do come from a profound insight into human existence. Also, watching season 2 in covid times made the virus theme extra poignant.

Looking forward to diving into season 3 soon, with anticipation for season 4 already as high as the Shadowmonster looming over Hawkins...",3204
75,6,"S1=9, S2=7, S3=4","S1= secret agencies, mysterious experiments, physic powers,the dark subject matter of the abuse of these subjects to exploit such powers, and the thrilling escape from these nefarious machinations.

S2= we get to explore the other world, foreboding air of danger throughout, development and growth of the gang. Similar tone as the 1st season and closes it well.

S1+S2 fits and works together.

S3=budget feels halved, core group split up for nearly the whole season, big CGI monster that looks at home in Resident Evil 2 or The Evil Within 2 video game, contrived setups , poor consistency , cheap guard costumes and lazy jokes.

Even worse thing is that they somehow made the characters flat one-note archetypes, with romances shoehorned in. It's quite sad for what S3 has turned out to be.

Guess it could be summed up as if it was made cause fans wants a new season (naturally since S1 and S2 was good) , and the producers and creators decide to chase the money that comes with that. Rather then working at it until they have something interesting to show, they just went with a hackjob of various 80s cliches.

And of course in analyzing why the drop in quality is so dramatic, we also need need to look at the pressure the suits must be pressing on the showmakers. Imagine an even greater fall in Netflix stocks if S3 was not made in time .....",1350
